Company,Quarter,Market Value (in Millions)
ExxonMobil,"October 1, 2010",368711.5
ExxonMobil,"April 1, 2010",291789.1
ExxonMobil,"January 1, 2010",316230.8
General Electric,"January 1, 2010",194246.2
ICBC,"April 1, 2010",211258.7
ICBC,"October 1, 2010",233369.1
ICBC,"July 1, 2010",213364.1
ICBC,"January 1, 2010",246419.8
Microsoft,"October 1, 2010",238784.5
Microsoft,"July 1, 2010",210676.4
Microsoft,"January 1, 2010",256864.7
Microsoft,"April 1, 2010",201655.8
Nestlé,"October 1, 2010",203534.3
PetroChina,"October 1, 2010",303273.6
PetroChina,"January 1, 2010",329259.7
PetroChina,"July 1, 2010",270889.9
PetroChina,"April 1, 2010",268504.8
Petrobras,"October 1, 2010",229066.6
Petrobras,"July 1, 2010",220616.5
Procter & Gamble,"April 1, 2010",172736.5
Royal Dutch Shell,"October 1, 2010",208593.7
Walmart,"April 1, 2010",178322.7
Walmart,"January 1, 2010",209000.7
AT&T,"January 1, 2009",148511.0
Apple,"October 1, 2009",189801.7
BHP Billiton,"October 1, 2009",201248.0
China Construction Bank,"October 1, 2009",201436.1
China Construction Bank,"July 1, 2009",186816.7
China Construction Bank,"April 1, 2009",182186.7
China Mobile,"January 1, 2009",174673.0
China Mobile,"July 1, 2009",195680.4
China Mobile,"April 1, 2009",200832.4
ExxonMobil,"October 1, 2009",323717.1
ExxonMobil,"July 1, 2009",329725.0
ExxonMobil,"January 1, 2009",336527.0
ExxonMobil,"April 1, 2009",341140.3
HSBC,"October 1, 2009",199254.9
HSBC,"July 1, 2009",198561.1
ICBC,"April 1, 2009",257004.4
ICBC,"October 1, 2009",268956.2
ICBC,"January 1, 2009",187885.0
ICBC,"July 1, 2009",237951.5
Johnson & Johnson,"January 1, 2009",145481.0
Johnson & Johnson,"April 1, 2009",156515.9
Microsoft,"July 1, 2009",229630.7
Microsoft,"April 1, 2009",211546.2
Microsoft,"January 1, 2009",163320.0
Microsoft,"October 1, 2009",270635.4
PetroChina,"July 1, 2009",325097.5
PetroChina,"October 1, 2009",353140.1
PetroChina,"January 1, 2009",287185.0
PetroChina,"April 1, 2009",366662.9
Petrobras,"April 1, 2009",165056.9
Petrobras,"July 1, 2009",189027.7
Petrobras,"October 1, 2009",199107.9
Procter & Gamble,"January 1, 2009",138013.0
Royal Dutch Shell,"January 1, 2009",138999.0
Royal Dutch Shell,"July 1, 2009",175986.1
Royal Dutch Shell,"April 1, 2009",156386.7
Walmart,"January 1, 2009",204365.0
Walmart,"April 1, 2009",188752.0
Walmart,"July 1, 2009",189331.6
Walmart,"October 1, 2009",203653.6
AT&T,"October 1, 2008",167950.0
AT&T,"January 1, 2008",231168.0
China Construction Bank,"July 1, 2008",186816.7
China Construction Bank,"April 1, 2008",182186.7
China Mobile,"October 1, 2008",201291.0
China Mobile,"January 1, 2008",298093.0
China Mobile,"July 1, 2008",195680.4
China Mobile,"April 1, 2008",200832.4
ExxonMobil,"January 1, 2008",452505.0
ExxonMobil,"October 1, 2008",406067.0
ExxonMobil,"July 1, 2008",403366.0
ExxonMobil,"April 1, 2008",465652.0
Gazprom,"January 1, 2008",299764.0
General Electric,"October 1, 2008",161278.0
General Electric,"January 1, 2008",369569.0
HSBC,"July 1, 2008",198561.1
ICBC,"January 1, 2008",277236.0
ICBC,"October 1, 2008",173930.0
ICBC,"July 1, 2008",237951.5
ICBC,"April 1, 2008",257004.4
Johnson & Johnson,"April 1, 2008",156515.9
Johnson & Johnson,"October 1, 2008",166002.0
Microsoft,"October 1, 2008",172929.0
Microsoft,"April 1, 2008",211546.2
Microsoft,"January 1, 2008",264132.0
Microsoft,"July 1, 2008",229630.7
PetroChina,"July 1, 2008",325097.5
PetroChina,"April 1, 2008",341140.3
PetroChina,"January 1, 2008",423996.0
PetroChina,"October 1, 2008",259836.0
Petrobras,"April 1, 2008",165056.9
Petrobras,"July 1, 2008",189027.7
Procter & Gamble,"January 1, 2008",215640.0
Procter & Gamble,"October 1, 2008",184576.0
Royal Dutch Shell,"April 1, 2008",156386.7
Royal Dutch Shell,"July 1, 2008",175986.1
Royal Dutch Shell,"January 1, 2008",220110.0
Walmart,"April 1, 2008",188752.0
Walmart,"October 1, 2008",219898.0
Walmart,"July 1, 2008",189331.6
AT&T,"July 1, 2007",258047.0
AT&T,"October 1, 2007",252051.0
AT&T,"April 1, 2007",255871.0
AT&T ,"January 1, 2007",246206.0
BP,"April 1, 2007",231491.0
Bank of America,"April 1, 2007",216963.0
Bank of America,"July 1, 2007",223066.0
Bank of America,"January 1, 2007",228177.0
China Mobile,"October 1, 2007",354120.0
